,ISBN,User-ID,Book-Rating,Rating-Count
0,0002558122,154061.8,8.2,10.0
1,000648302X,122087.2,6.5,10.0
2,000649840X,129357.85365853658,7.7560975609756095,41.0
3,0006513204,111625.86666666667,7.4,15.0
4,0006513220,103566.45454545454,9.454545454545455,11.0
5,0006514855,137752.16666666666,7.0,12.0
6,0006547834,161207.66666666666,8.066666666666666,15.0
7,0006550576,141900.46666666667,7.266666666666667,15.0
8,0006550681,132386.5,8.357142857142858,14.0
9,0006550789,139138.16666666666,7.5,12.0
10,0007108265,107646.2,6.2,10.0
11,0007108273,117493.27272727272,7.454545454545454,11.0
12,0007110928,132482.59259259258,7.703703703703703,27.0
13,0007154615,110889.28571428571,7.357142857142857,14.0
14,000716226X,111419.8,5.7,10.0
15,0007170866,129034.36363636363,6.454545454545454,11.0
16,0020198817,130297.0,7.933333333333334,15.0
17,0020198906,143325.23529411765,7.235294117647059,17.0
18,0020199600,161065.08333333334,8.416666666666666,24.0
19,002026478X,145668.07692307694,7.615384615384615,13.0
20,0020427859,98506.63636363637,7.545454545454546,11.0
21,0020442009,145780.25,8.583333333333334,12.0
22,0020442203,159810.1379310345,8.724137931034482,29.0
23,0020442300,147424.9090909091,8.636363636363637,11.0
24,0020442408,116898.7,8.1,10.0
25,0020442602,161266.15384615384,8.76923076923077,13.0
26,0020518706,139511.5,8.6,10.0
27,0020519001,107338.0,6.833333333333333,12.0
28,0020532105,163620.72727272726,9.181818181818182,11.0
29,002542730X,144816.2857142857,7.805194805194805,77.0
30,0028604199,130229.15151515152,7.909090909090909,33.0
31,0028604202,138906.70588235295,8.294117647058824,17.0
32,0060001453,155047.8,7.4,10.0
33,0060002050,143250.53846153847,7.538461538461538,13.0
34,0060002069,162733.3,6.6,10.0
35,0060002492,125721.83333333333,7.25,12.0
36,006000438X,128212.5,7.529411764705882,34.0
37,0060005424,121161.58333333333,8.5,12.0
38,0060007192,196453.7,8.1,10.0
39,0060007788,126103.7,8.1,10.0
40,0060008024,154559.5625,8.125,16.0
41,0060008032,152552.51428571428,7.257142857142857,35.0
42,0060008776,144991.48,6.84,25.0
43,006001203X,126141.5,7.409090909090909,22.0
44,0060012781,132860.66666666666,8.533333333333333,15.0
45,0060013125,150299.3,8.7,10.0
46,0060080841,180357.64285714287,7.928571428571429,14.0
47,0060081961,147165.45454545456,7.7272727272727275,11.0
48,0060083298,149898.36363636365,8.0,11.0
49,0060083948,162728.5,6.65,20.0
50,0060084405,146166.86666666667,7.8,15.0
51,0060085444,135529.64705882352,7.176470588235294,17.0
52,0060085452,145549.5652173913,8.130434782608695,23.0
53,0060086246,150810.86666666667,7.866666666666666,15.0
54,0060086386,106586.1052631579,6.052631578947368,19.0
55,0060090367,138438.85185185185,7.518518518518518,27.0
56,0060090375,118789.66666666667,7.2,15.0
57,0060090383,138633.11111111112,7.611111111111111,18.0
58,0060096195,135553.11320754717,8.132075471698114,53.0
59,0060096209,161765.23529411765,7.176470588235294,17.0
60,0060168013,147549.45833333334,8.5,24.0
61,006016848X,142361.77192982455,6.947368421052632,57.0
62,006017143X,132087.8,8.333333333333334,15.0
63,0060171928,174254.81818181818,6.909090909090909,11.0
64,0060172916,125461.33333333333,7.666666666666667,12.0
65,0060173289,123864.05084745762,7.610169491525424,59.0
66,0060175400,138811.42307692306,8.384615384615385,78.0
67,0060175818,138897.9090909091,8.0,11.0
68,0060175966,127718.64705882352,8.147058823529411,34.0
69,0060176806,141257.57142857142,5.928571428571429,14.0
70,0060177888,80105.7,8.7,10.0
71,0060184957,143066.08333333334,7.416666666666667,12.0
72,0060185074,129714.3,7.7,10.0
73,0060185147,172227.16666666666,8.0,12.0
74,0060188731,135332.0,7.911111111111111,45.0
75,0060191538,150945.3,7.6,10.0
76,0060191988,160558.26666666666,6.4,15.0
77,0060192119,132630.27777777778,7.888888888888889,18.0
78,0060192704,137456.8125,8.125,16.0
79,0060193395,146410.15384615384,7.615384615384615,13.0
80,006019443X,159221.3125,7.4375,16.0
81,0060194448,123558.09523809524,7.761904761904762,21.0
82,0060194790,146771.625,6.875,16.0
83,006019491X,135150.525,8.1,40.0
84,0060195703,134727.1,6.9,10.0
85,0060196092,143332.41666666666,7.333333333333333,12.0
86,0060196122,119504.7,7.9,10.0
87,0060198125,134942.0,6.916666666666667,12.0
88,0060198133,119218.3448275862,7.689655172413793,29.0
89,0060198346,143232.33333333334,6.0,15.0
90,006019958X,168656.0,8.3,10.0
91,0060199652,127747.03333333334,8.266666666666667,60.0
92,0060248025,136003.8,8.766666666666667,30.0
93,0060256656,163067.65,9.75,20.0
94,0060256672,130873.4,9.4,25.0
95,0060256737,144830.63636363635,9.045454545454545,22.0
96,0060263857,126873.75,9.416666666666666,12.0
97,0060294671,188586.6,8.2,10.0
98,0060294698,140544.5,8.785714285714286,14.0
99,0060391448,143338.72727272726,7.909090909090909,22.0
100,0060391502,112524.0,6.166666666666667,12.0
101,0060391626,126176.94666666667,8.36,75.0
102,0060391677,121944.09090909091,5.818181818181818,11.0
103,0060392452,133711.32278481012,7.80379746835443,158.0
104,0060392827,133192.15384615384,7.076923076923077,13.0
105,006039384X,130350.42857142857,7.357142857142857,14.0
106,0060502258,135092.27710843374,7.771084337349397,166.0
107,0060504080,106755.23076923077,8.538461538461538,13.0
108,0060505885,140213.5,7.208333333333333,24.0
109,0060507403,126224.81818181818,7.545454545454546,11.0
110,0060507845,102042.27272727272,7.636363636363637,11.0
111,0060508302,108526.05555555556,8.444444444444445,18.0
112,006050918X,114882.0,6.583333333333333,12.0
113,0060511508,172693.53846153847,7.461538461538462,13.0
114,0060512806,126405.09090909091,8.0,22.0
115,0060512822,142733.70588235295,8.264705882352942,34.0
116,0060513640,159717.47368421053,7.315789473684211,19.0
117,0060514930,151845.16666666666,8.083333333333334,12.0
118,0060514949,128342.1,6.6,10.0
119,0060517611,141598.3,7.3,10.0
120,0060517794,154432.33333333334,8.0,30.0
121,0060519134,147621.38888888888,7.333333333333333,18.0
122,0060529709,152157.17647058822,7.529411764705882,17.0
123,0060531231,152160.6,8.6,10.0
124,0060532149,76908.3,7.7,10.0
125,006053429X,146482.0909090909,8.363636363636363,11.0
126,0060539860,144109.0909090909,8.0,11.0
127,0060540753,136314.05555555556,7.555555555555555,18.0
128,0060542128,154187.85714285713,7.357142857142857,14.0
129,0060557257,129733.73684210527,7.7894736842105265,19.0
130,0060557540,139448.72727272726,7.454545454545454,11.0
131,0060558199,134343.31578947368,8.105263157894736,19.0
132,0060558865,110296.3,8.1,10.0
133,0060559128,154530.14285714287,6.928571428571429,14.0
134,0060560754,135322.91666666666,7.583333333333333,12.0
135,0060562080,113793.46153846153,7.538461538461538,13.0
136,0060652934,104180.22222222222,7.777777777777778,18.0
137,0060740450,128805.70967741935,6.516129032258065,31.0
138,0060807792,132605.9090909091,8.727272727272727,11.0
139,0060809833,151204.3,8.266666666666667,30.0
140,0060830956,125530.55,8.55,20.0
141,006091307X,164080.9090909091,6.363636363636363,11.0
142,0060914653,143515.33333333334,8.133333333333333,30.0
143,0060915153,158489.53333333333,7.2,15.0
144,0060915544,128324.5982905983,8.521367521367521,117.0
145,006091565X,161913.375,7.4375,16.0
146,0060916508,139010.26923076922,8.403846153846153,52.0
147,0060917016,162736.38888888888,8.277777777777779,18.0
148,0060919884,111108.3,8.4,10.0
149,0060920084,153994.86486486485,7.405405405405405,37.0
150,0060921056,121659.36363636363,8.818181818181818,11.0
151,0060921145,130697.40298507463,7.970149253731344,67.0
152,0060922249,141827.57142857142,8.214285714285714,14.0
153,0060922532,136251.6037735849,7.716981132075472,53.0
154,0060923245,158025.64705882352,8.117647058823529,17.0
155,0060924985,161216.63636363635,6.2727272727272725,11.0
156,0060926317,163779.775,7.55,40.0
157,0060927216,140994.29411764705,7.764705882352941,17.0
158,0060927240,125880.6875,7.4375,16.0
159,0060927569,132166.8260869565,8.391304347826088,23.0
160,0060928336,132077.13125,7.8875,320.0
161,0060929596,124243.54545454546,8.0,11.0
162,0060929790,131219.26829268291,8.24390243902439,41.0
163,0060929871,140776.5652173913,7.855072463768116,69.0
164,006092988X,128961.97142857143,8.971428571428572,35.0
165,0060930187,141001.38095238095,8.023809523809524,42.0
166,0060930535,135477.26605504588,8.178899082568808,218.0
